subsistence	playerNr	treatment	per	infoChoice	decision	payoff	demonstrator1	demonstrator2	demonstrator3	opt	orderTreatments	age	optDemo1	optDemo2	optDemo3	sumDemoOpt
1	1	1	1	0	2	51	0	0	0	1	1	35	0	0	0	0
1	1	1	2	1	1	36	1	1	1	0	1	35	0	0	0	0
1	1	1	3	1	2	30	2	1	2	1	1	35	1	0	1	2
1	1	1	4	1	2	34	2	1	2	1	1	35	1	0	1	2
1	1	1	5	1	2	37	2	1	2	1	1	35	1	0	1	2
1	1	1	6	1	2	35	2	1	1	1	1	35	1	0	0	1
1	1	1	7	1	2	43	2	1	2	1	1	35	1	0	1	2
1	1	1	8	1	2	46	2	1	2	1	1	35	1	0	1	2
1	1	1	9	2	2	28	1	2	1	1	1	35	0	1	0	1
1	1	1	10	2	1	36	2	2	1	0	1	35	1	1	0	2
1	1	1	11	1	1	24	2	1	1	0	1	35	1	0	0	1
1	1	1	12	1	2	26	2	1	2	1	1	35	1	0	1	2
1	1	1	13	1	2	35	2	2	2	1	1	35	1	1	1	3
1	1	1	14	1	2	25	2	2	2	1	1	35	1	1	1	3
1	1	1	15	1	2	47	2	2	2	1	1	35	1	1	1	3
1	1	2	1	0	1	19	0	0	0	0	1	35	0	0	0	0
1	1	2	2	1	1	33	1	2	1	0	1	35	0	1	0	1
1	1	2	3	1	2	34	2	2	2	1	1	35	1	1	1	3
1	1	2	4	1	2	53	2	2	2	1	1	35	1	1	1	3
1	1	2	5	1	2	54	2	1	2	1	1	35	1	0	1	2
1	1	2	6	1	2	31	2	1	2	1	1	35	1	0	1	2
1	1	2	7	1	1	26	2	1	1	0	1	35	1	0	0	1
1	1	2	8	1	1	11	1	1	2	0	1	35	0	0	1	1
1	1	2	9	1	2	19	2	1	2	1	1	35	1	0	1	2
1	1	2	10	1	2	26	2	1	2	1	1	35	1	0	1	2
1	1	2	11	1	2	18	2	2	2	1	1	35	1	1	1	3
1	1	2	12	1	2	46	2	2	1	1	1	35	1	1	0	2
1	1	2	13	1	2	53	2	1	2	1	1	35	1	0	1	2
1	1	2	14	1	2	40	2	1	2	1	1	35	1	0	1	2
1	1	2	15	1	2	29	2	2	2	1	1	35	1	1	1	3
1	2	1	1	0	2	40	0	0	0	1	2	45	0	0	0	0
1	2	1	2	1	1	36	1	2	1	0	2	45	0	1	0	1
1	2	1	3	1	1	28	2	2	2	0	2	45	1	1	1	3
1	2	1	4	1	1	23	2	2	2	0	2	45	1	1	1	3
1	2	1	5	1	2	51	2	1	2	1	2	45	1	0	1	2
1	2	1	6	1	1	21	2	1	2	0	2	45	1	0	1	2
1	2	1	7	1	1	21	2	1	1	0	2	45	1	0	0	1
1	2	1	8	1	1	26	1	1	2	0	2	45	0	0	1	1
1	2	1	9	1	1	15	2	1	2	0	2	45	1	0	1	2
1	2	1	10	1	2	30	2	1	2	1	2	45	1	0	1	2
1	2	1	11	1	1	46	2	2	2	0	2	45	1	1	1	3
1	2	1	12	1	1	20	2	2	1	0	2	45	1	1	0	2
1	2	1	13	1	2	56	2	1	2	1	2	45	1	0	1	2
1	2	1	14	1	2	45	2	1	2	1	2	45	1	0	1	2
1	2	1	15	1	2	52	2	2	2	1	2	45	1	1	1	3
1	2	2	1	0	1	22	0	0	0	0	2	45	0	0	0	0
1	2	2	2	2	2	44	1	1	1	1	2	45	0	0	0	0
1	2	2	3	2	2	42	2	1	2	1	2	45	1	0	1	2
1	2	2	4	2	2	31	2	1	2	1	2	45	1	0	1	2
1	2	2	5	2	2	25	2	1	2	1	2	45	1	0	1	2
1	2	2	6	2	1	13	2	1	1	0	2	45	1	0	0	1
1	2	2	7	1	2	51	2	1	2	1	2	45	1	0	1	2
1	2	2	8	1	2	46	2	1	2	1	2	45	1	0	1	2
1	2	2	9	2	2	33	1	2	1	1	2	45	0	1	0	1
1	2	2	10	1	2	54	2	2	1	1	2	45	1	1	0	2
1	2	2	11	1	2	31	2	1	1	1	2	45	1	0	0	1
1	2	2	12	1	2	10	2	1	2	1	2	45	1	0	1	2
1	2	2	13	1	2	45	2	2	2	1	2	45	1	1	1	3
1	2	2	14	1	2	36	2	2	2	1	2	45	1	1	1	3
1	2	2	15	1	2	37	2	2	2	1	2	45	1	1	1	3
1	3	1	1	0	1	19	0	0	0	0	1	38	0	0	0	0
1	3	1	2	1	1	33	1	1	1	0	1	38	0	0	0	0
1	3	1	3	1	2	34	2	1	2	1	1	38	1	0	1	2
1	3	1	4	1	2	44	2	1	2	1	1	38	1	0	1	2
1	3	1	5	1	2	39	2	1	2	1	1	38	1	0	1	2
1	3	1	6	1	2	48	2	1	1	1	1	38	1	0	0	1
1	3	1	7	1	2	30	2	1	2	1	1	38	1	0	1	2
1	3	1	8	1	1	31	2	1	2	0	1	38	1	0	1	2
